precio,demanda,porcentaje,eolica,hidraulica,solar
52.04,25111,51.05454355382484,4131.0,1185.1666666666667,29.0
48.19,23895,50.713786152137246,3616.3333333333335,1139.6666666666667,28.83333333333333
46.4,22949,50.38150438103153,3411.5,832.3333333333334,29.0
45.48,22382,50.13092577430609,3154.833333333333,721.5,29.0
45.3,22066,49.1501630237894,2725.333333333333,670.6666666666666,28.83333333333333
45.36,21913,48.78762605201304,2380.1666666666665,887.8333333333334,28.5
45.94,22335,46.72464465307166,1996.3333333333333,904.8333333333334,28.666666666666668
48.03,23762,45.59269644790912,1886.8333333333333,1236.8333333333333,36.5
52.1,24346,45.26177846243927,1859.8333333333333,1463.3333333333333,83.5
55.52,26052,46.72927315032646,1665.5,2362.833333333333,702.1666666666666
54.9,27412,50.02560757008549,1266.5,2874.5,1599.6666666666667
54.11,27849,54.46108808196908,1116.1666666666667,2733.833333333333,2336.5
54.9,28004,55.17935242559286,1214.8333333333333,2461.5,2804.6666666666665
56.18,28196,54.73300185354085,1456.0,1915.6666666666667,2940.833333333333
53.78,27592,55.86376044786463,1789.1666666666667,1601.6666666666667,2874.5
48.88,26438,56.97392683402665,2075.0,1167.3333333333333,2697.0
48.07,25744,57.16133956930402,2263.833333333333,912.6666666666666,2404.333333333333
48.89,25539,55.72100466423372,2384.833333333333,914.1666666666666,1907.3333333333333
55.71,25920,53.49531367362268,2561.1666666666665,1200.6666666666667,1086.0
56.31,27160,48.8191575112499,2476.1666666666665,1811.0,219.0
58.84,29195,47.7049926475737,2757.0,2920.333333333333,56.16666666666666
58.82,28749,48.65500658913832,3020.1666666666665,3302.833333333333,35.166666666666664
57.98,26640,46.97255511170292,2860.333333333333,2208.833333333333,30.83333333333333
54.48,24856,47.65035725174649,2639.833333333333,1722.1666666666667,30.83333333333333
51.58,23481,48.033705884426894,2444.1666666666665,1314.6666666666667,30.5
48.7,22224,49.22008721925373,2443.6666666666665,1021.1666666666666,30.0
47.07,21322,50.087424869252985,2280.0,905.3333333333334,30.0
47.39,20622,49.33565619505616,1921.0,820.8333333333334,30.33333333333333
46.46,20333,48.55939589934914,1891.3333333333333,542.8333333333334,30.666666666666668
46.75,20265,47.79520105362802,1839.3333333333333,338.8333333333333,30.33333333333333
47.04,20461,47.35130607585997,1778.8333333333333,332.0,30.5
48.81,20954,46.350669474353374,1707.0,502.0,38.333333333333336
49.04,21019,47.48321477897796,1542.6666666666667,797.5,96.33333333333331
54.18,22273,48.23498655512399,1169.0,1257.5,851.5
54.87,23647,50.60965006851173,743.0,1617.8333333333333,1806.1666666666667
54.29,24244,53.657516128161525,689.5,1404.3333333333333,2403.6666666666665
54.7,24686,55.341057907717264,843.1666666666666,1211.1666666666667,2780.5
54.99,25196,56.302054414214325,1118.0,1116.3333333333333,2948.0
53.04,25154,56.50188968435394,1314.6666666666667,875.6666666666666,2922.833333333333
47.92,24137,59.20950908388095,1536.0,629.8333333333334,2820.333333333333
46.39,23573,59.02678590274895,1716.0,366.5,2546.833333333333
45.96,23267,60.68378495417533,1876.5,919.3333333333334,2089.333333333333
50.37,23605,57.88673935983116,2032.1666666666667,1092.3333333333333,1314.6666666666667
57.29,24813,54.580480034852215,2022.8333333333333,2414.833333333333,323.5
61.34,27462,50.56410880545244,2120.333333333333,3584.6666666666665,74.83333333333333
